Expedient;Vista original;Lots oficials;Imports i adjudicatari coincideixen;Font
CTTI-2026-200;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/2f913645-1fb7-4cea-9a79-f208dd6018f2/300856273
CO/AP55/1101478928/26/CE;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/cfcad5c2-e70d-42f1-bee3-3f46ed351461/300859270
CPF-2026-36;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/3413d461-0ce9-47a3-bab2-fad0d64853f4/300850216
SCT-2026-105;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/93e554a6-3c39-40dd-91ff-80631971edf8/300825789
C-14/2026;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/068fab85-a8dd-42bf-9ad3-4ce106377848/300872253
CP-2026-07;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/d7ab130c-7177-4775-abbe-c1384ddacc9b/300850380
ICGC-2027-1;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/bb239975-4174-4e0d-a7f9-4c7207302367/300841307
CSE/AH02/1101476696/27/PO;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/fcc26c67-a97f-4038-85fd-3e6adfaa57da/300835847
LSL-2026-211;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/8b8b21e5-a1c7-401e-9cd3-595ada07f076/300853470
CST-2026-10;open;1,2,3,4,5,6,7;True;https://contractaciopublica.cat/ca/detall-publicacio/b4ac280f-91f0-4238-9796-205311c7ec2b/300841148
BC-2026-139;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/c2f07b76-85a1-4229-95a3-df4f401bec28/300831230
CONTR/2026/0000000535;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/2cf01520-0892-4fb2-9840-41bdeccfbeeb/300873653
FTS-2026-70;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/47cb3062-4957-4120-b5f5-be32dbcccc46/300864756
2607MS12;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/eb7deef8-6826-443d-91c0-393688b7b97b/300850317
2607MS11;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/4628fce4-8740-4afd-8609-ad314ad57f0e/300845828
2609MS01;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/b4b28f62-1642-4865-8744-7eca93dcb012/300871416
F26.035CH;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/0a755cdb-779f-4abd-bfac-0d520a3744c3/300836907
AHC-2026-96;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/c8c78be2-605c-4db0-a29d-ef9a41d18817/300849492
LRC 20/2026-PA;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/db2c0796-0713-4ed2-8402-4bebc3ec61f3/300850434
SA-2026-117;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/d0f9b03c-ff72-447c-a072-df8be771aa44/300845821
SMC-2026-121;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/04e4d250-94cc-42c6-a17d-975f07fff81d/300857571
LICI 2026-033 SECUENCIACIÓN RNA (PI25/00343);open;;True;https://contractaciopublica.cat/ca/detall-publicacio/9da8437d-508e-4583-b4c8-fdef298cc04a/300852465
CONTR/2026/0000000386;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/3f29e818-2444-4c90-953e-3898e1fe18ce/300849029
2026-16 ICN2;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/bf2e0c39-4ae9-456f-bc30-6b31da076ef6/300857493
2607MS09;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/1824c6c5-0e5b-48d1-aaf9-6c121cad90e1/300842325
ERPC-2026-63;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/dd31aa4a-d951-4733-8706-9dcbc5716a16/300847738
JU-2027-3;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/1ed3b7b1-9520-444a-8b25-97fd6df8d4a0/300854611
CSE/AH02/1101479464/27/PO;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/f6ac94ee-ece0-41c1-aef9-2e6e9d5a6638/300853207
2607OS03;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/821354f9-c1d2-4e3d-bc18-0f486cbd274c/300873019
CP-2026-18;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/b91e071f-4f52-43b9-86d1-ae8cee9ebe55/300843908
C-27/2026;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/d868b27e-9ef5-49ac-a2e1-9ea97db0050e/300832157
2607OS05;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/839f5ab2-bfcd-49cf-9381-21a902db93a9/300872212
2026-16;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/95839192-99b5-4b83-99aa-5defd62613e3/300868988
ICSCC00-2026-419;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/b2c2fdf2-b591-4adf-9950-c3533a442aa2/300861000
