SDA;Expedient;Objecte;Categoria;Publicació avís;Termini publicat;Pressupost sense IVA;Font;Extracció
CTTI-2025-96;CTTI-2026-218;CTTI-2026-218 Anunci de licitació del contracte específic: Servei de construcció  i manteniment matrícula en línia corresponent a la categoria C2;Subcategoria C Franja C2;2026-09-07T13:00:49.243Z;2026-09-28T10:00:59.000Z;2075286.8;https://contractaciopublica.cat/ca/detall-publicacio/9274dec7-90cc-4fa0-b791-2c9fcafb3ca3/300874854?hash=3d32fdcf0f4050a3ea6d69336a8d4525;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-214;CTTI-2026-214 Anunci de licitació del contracte específic: Servei de millores del sistema d'informació basat en IBM Maximo de la Direcció General de Prevenció, Extinció d'Incendis i Salvaments (DGPEIS) cap a la plataforma IBM Maximo Application Suite - Corresponent a la Categoria B2- Franja 2;Subcategoria B2 Franja B2-2;2026-09-02T09:14:12.528Z;2026-09-16T10:00:59.000Z;321661.3;https://contractaciopublica.cat/ca/detall-publicacio/d7974c0a-6d1c-4513-b853-c6a7bba166d7/300872089?hash=5326b73129ddf29dd0d175923920459b;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-195;CTTI-2026-195 Anunci de licitació del contracte específic per al servei de construcció i desenvolupament de la nova plataforma de prestació de l’ajuda a morir (PRAM), de la Direcció General d’Ordenació i Regulació Sanitària, del Departament de Salut, corresponent a la categoria C, franja 1;Subcategoria C Franja C1;2026-09-01T07:02:26.265Z;2026-09-22T10:00:59.000Z;295450.21;https://contractaciopublica.cat/ca/detall-publicacio/5e636cef-cfcb-44a4-b878-f42e1aaf14bb/300848536?hash=c23b7fa0e72c30620c28a3de87b74b9d;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-202;CTTI-2026-202 Servei de migració de visors GIS de la Direcció General de Prevenció, Extinció d’Incendis i Salvament (DGPEIS).;Subcategoria B1 ;2026-08-31T11:34:18.546Z;2026-09-15T10:00:00.000Z;263873.28;https://contractaciopublica.cat/ca/detall-publicacio/d1db3280-2ee1-482d-9334-4b1697ba04bc/300870235?hash=da182b9088a89ca1d5df3125a136e0d1;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-211;CTTI-2026-211 Servei de consultoria per definir l’estratègia i el full de ruta d’un ecosistema digital del Consorci per a la Normalització lingüística;Categoria A Franja A1;2026-08-31T11:32:34.466Z;2026-09-15T10:00:00.000Z;95773.32;https://contractaciopublica.cat/ca/detall-publicacio/68c386d0-a835-4ba1-9fee-5f9f58c4a9c5/300874833?hash=a611a62235d82772a3386c874cee177b;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-200;CTTI-2026-200 Anunci de licitació del contracte específic: Servei de desenvolupament d’un sistema d’informació de gestió d’actuacions i relacions amb entitats pel Consell Català de l’Esport - Corresponent a la Categoria C, Franja C1;Subcategoria C Franja C1;2026-08-07T09:38:07.011Z;2026-09-15T10:00:59.000Z;122871.83;https://contractaciopublica.cat/ca/detall-publicacio/2f913645-1fb7-4cea-9a79-f208dd6018f2/300873158;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-192;CTTI-2026-192 Anunci de licitació del Servei de desenvolupament de la plataforma centralitzada de gestió d’inscripcions als centres de tecnificació esportiva - Corresponent a la Categoria C, Franja 1;Subcategoria C Franja C1;2026-07-28T12:04:08.901Z;2026-08-17T10:00:59.000Z;131674.3;https://contractaciopublica.cat/ca/detall-publicacio/6b787421-e424-459e-9e12-0601a793385f/300847587?hash=25c53299aabd8212f9dd3ecd4e69b8cd;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-183;CTTI-2026-183 Anunci de licitació del contracte específic: Servei de Suport a la Governança i gestió del canvi dels projectes de transformació TIC de l'Agència Tributària de Catalunya (ATC);Subcategoria E Franja E2;2026-07-09T17:48:05.358Z;2026-07-30T10:00:00.000Z;1286947.52;https://contractaciopublica.cat/ca/detall-publicacio/8ad3b48d-c46a-4340-9f53-cd4ef2ffdcf1/300828362?hash=d7f48473beccdf51c45b4462325cca9a;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-158;CTTI-2026-158 Anunci de licitació Servei de manteniment del CRM de l'IFE - B1;Subcategoria B1 ;2026-07-06T11:22:13.586Z;2026-07-22T10:00:00.000Z;133036.73;https://contractaciopublica.cat/ca/detall-publicacio/155fbe23-31c7-48c5-8ba8-b4a7fd57008b/300817614?hash=ade4c0f9879508830f19f3441a7cf9f3;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-169;CTTI-2026-169 Anunci de licitació del Servei de transformació digital del Registre Públic de Contractes (RPC) de la Generalitat de Catalunya - Corresponent a la Categoria C, Franja 1;Subcategoria C Franja C1;2026-07-06T08:56:10.177Z;2026-07-27T10:00:59.000Z;189493.63;https://contractaciopublica.cat/ca/detall-publicacio/536a020a-c565-4297-9005-aa5c8679106c/300823213?hash=f4d78929dc5f71ec2a33357488c9aa42;2026-09-08T17:47:45.890635+00:00
